汉德术语对照表（按汉语拼音字母排列）


A

爱好 Neigung
杂多／多样性 Mannigfaltige／Mannigfaltigkeit
在场 Gegenwart
在手 vorhanden
再生的 reproduktiv
哲学 Philosophie
哲学家 Philosoph
真理（性）／真实性 Wahrheit
争执 streiten／Streitigkeit
证明 Beweis／beweisen
正当的／正当性 rechtlich／gerecht／mit Recht/Gerechtigkeit
正题 Thesis
正位论 Topik
知觉 Wahrnehmung
知觉 perception
知识 Erkenntnis
知性 Verstand
知性物 Verstandeswesen
直观 Anschauung
直觉 intuitiv
值得奇的 bewunderungswüirdig
至善 das höchste Gut
至上的 oberst
智慧的／智慧 Weis／Weisheit
智性 intellektell
智性哲学家 Intellektualphilosoph
智性直观 die intellektuelle Anschauung
质／质的 Qualität／qualitativ
质料／物质 Materie 
置信 Überredung
终极目的 Endzweck
终极意图 Endabsicht
主体／主词／主观的 Subjekt／subjektiv
转世 Palingenesie
准绳 Richtschnur
准则 Maxime
自存性／自存的 Subsistenz／subsistierend
自动地／自动性 selbsttätig／Selbsttätigkeit
自发性 Spontaneität
自负 Eigendünkel
自明性 Evidenz
自然／自然的 Natur／natürlich
自然科学 Naturwissenschaft
自然神论 Deismus
自然神学 Physikotheologie
自然之学／生理学 Physiologie
自我认识 Selbsterkenntnis
自我意识 Selbstbewuβtsein
自由／自由的 Freiheit／frei
自在的 an sich
自在之物 Ding an sich
综观 Überschauung
综合／综合的 Synthesis／synthetisch
宗教 Religion
总和 Inbegriff
总和 Summe
总量 Menge
总体性 Totalität
组合（物） Komposition
组合（物）／复合（物） Zusammensetzung
组织 organisieren
最高实在的 allerrealst
最高完善的 allervollkommst
做哲学研究 philosophieren
尊严 Dignität
尊严 Würde
